class,subclass,moisture_pct,conductivity_mS_cm,ferrous_flag,eddy_index,transparency_0_1,specularity_0_1,density_g_per_l,compliance_N_per_mm,acoustic_peak_hz,acoustic_decay_ms,nir_organic_idx,uv_fluor_0_1,surface_wetness_0_1,color_texture_entropy
landfill,contaminated_paper_plastic,25.682611348321565,0.0,0,0.14061719907638873,0.16305647860868,0.3123182223926586,253.7020781227143,1.5817414970581944,1473.6817017580624,418.30957922013783,0.5317084599126795,0.25695091416618376,0.33772865249521056,0.7028689257099829
landfill,film,11.364990879837501,0.48578530698702055,0,0.03518076818425515,0.6474739587127198,0.5036095789144669,227.00127463729234,0.8482060526764676,756.2161106207933,180.76239023444725,0.2195332166244344,0.3730751348648744,0.0,0.600780789284242
compostable,food,81.69372367622235,12.082820958747044,0,0.0,0.0,0.12558202365162657,376.85853574088605,0.4532571742536385,511.32998497942145,83.24231885891827,0.8143600977552726,0.11405511506783414,0.7096711622215179,0.36294401203753546
recyclable,metal_ferrous,9.792786681930572,483.9816233949855,1,0.10696204944065717,0.0008701648039238655,0.7774699499617362,1857.0212264411375,13.194144649527788,7473.495982581063,536.1366593022615,0.08351487171334104,0.03691208548894528,0.1444753161316674,0.009505554598936122
compostable,food,63.607213334016684,33.05905651869912,0,0.029866358017617785,0.0592418061847437,0.0813313775855029,534.037185529079,0.3560905434405565,524.4019629290723,134.00211345671988,0.812315208022028,0.16044913283999732,0.5945235362311169,0.5958013811403646
landfill,contaminated_paper_plastic,54.81816689116364,0.0,0,0.13953587056850353,0.16195393191612473,0.17028333695225226,230.3178887421304,0.7664419311591133,1520.4098994528579,121.6680809501,0.1059044020345723,0.30588749311820207,0.1786909895426922,0.7745183860785984
compostable,paper/cardboard,41.8541528746305,2.4873144474054287,0,0.0,0.030723019963953505,0.11211793962557277,309.9481785726546,0.9494738895267971,1023.5159797438799,30.0,0.651451850789776,0.04487352469067396,0.3115488982441261,0.4192928362264792
landfill,styrofoam,1.4884142270272864,0.10008806727832438,0,0.0026673224266213396,0.018234731518916768,0.2664095803178156,53.520382985988455,1.0008938881407896,394.4198466765587,86.59935617678101,0.18920861481242468,0.16272449121957433,0.10276073001907687,0.29636063828322284
recyclable,metal_ferrous,4.631972021346765,550.576604967302,1,0.10024579018742194,0.0,0.6959129568584357,1000.333327941625,12.102088759040043,7736.52502694789,656.3183786440879,0.07502710317402972,0.10811297987528334,0.056832702341029474,0.2894910556026825
landfill,film,15.913694597314409,0.5761977984653351,0,0.03624864998015996,0.6185918221793337,0.7246832746431999,174.80232174782375,0.9273058914550353,1362.9284380478157,158.856045308071,0.35608000718059474,0.4149342065107462,0.06671429774480886,0.43710552438874406
